Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
24109282,0,2014-11-09,Host,457.0,I Centro Storico,2.0,1.0,Entire home,4,650.0,51,4.55,4.61,4.41,4.71,4.78,4.94,4.43,0.74,Roma,Early Winter,1,private,"41.9048, 12.461",2024-12-15
44999524,23,2020-07-02,Host,6.0,XI Arvalia/Portuense,1.0,1.0,Entire home,2,130.0,58,4.64,4.66,4.64,4.74,4.83,4.24,4.47,1.46,Roma,Early Winter,1,private,"41.83233, 12.43888",2024-12-15
2713072,0,2014-04-04,Host,1.0,VIII Appia Antica,1.0,1.0,Entire home,3,100.0,5,4.8,4.6,5.0,4.6,4.4,4.6,5.0,0.04,Roma,Early Winter,2,private,"41.85338, 12.50665",2024-12-15
35997613,0,2019-06-23,Host,3.0,I Centro Storico,2.0,1.0,Private room,3,159.0,53,4.64,4.79,4.87,4.79,4.72,4.85,4.7,0.97,Roma,Early Winter,1,private,"41.89768, 12.50217",2024-12-15
728987716142395671,30,2018-07-09,Superhost,8.0,VI Roma delle Torri,2.0,1.0,Entire home,4,69.0,30,4.77,4.87,4.63,4.67,4.97,4.4,4.53,2.63,Roma,Early Winter,1,private,"41.86547822242211, 12.58506973928528",2024-12-15
961540273411032493,13,2016-10-30,Host,1.0,XII Monte Verde,1.0,1.0,Entire home,2,115.0,13,4.86,4.93,4.93,5.0,5.0,4.93,4.71,4.38,Roma,Early Winter,1,private,"41.88392, 12.47255",2024-12-15
6323770,0,2015-05-06,Host,1.0,VII San Giovanni/Cinecittà,3.0,2.0,Entire home,6,70.0,71,4.89,4.93,4.92,4.82,4.9,4.79,4.85,0.71,Roma,Early Winter,1,private,"41.88083, 12.50949",2024-12-15
52712316,3,2020-11-26,Host,2.0,XII Monte Verde,2.0,1.0,Entire home,3,160.0,10,4.4,4.2,4.9,4.8,4.6,4.7,4.2,0.38,Roma,Early Winter,3,private,"41.88322830200195, 12.468881607055664",2024-12-15
22737380,5,2012-04-07,Host,10.0,I Centro Storico,1.0,1.0,Entire home,2,74.0,145,4.9,4.95,4.92,4.98,4.97,4.96,4.9,2.02,Roma,Early Winter,1,private,"41.89052, 12.46944",2024-12-15
53692545,21,2021-04-13,Host,2.0,I Centro Storico,2.0,1.0,Entire home,3,120.0,34,4.56,4.59,4.56,4.79,4.74,4.79,4.47,1.44,Roma,Early Winter,1,private,"41.91146, 12.45643",2024-12-15
